version,S1,S2,S3,S4
39,0.0,0.0,1.0,0.0
39 Branch,0.125,0.041666666666666664,0.7916666666666666,0.041666666666666664
4.0,0.0,0.0,1.0,0.0
4.0 Branch,0.0,0.0,1.0,0.0
4.1,0.0,0.0,1.0,0.0
4.1.2,0.0,0.0,1.0,0.0
4.19,0.0,0.0,1.0,0.0
4.2,0.0,1.0,0.0,0.0
4.2.5,0.0,0.0,0.5,0.5
4.21,0.5,0.0,0.5,0.0
4.33,0.0,0.0,0.0,1.0
4.4.2,0.0,0.0,1.0,0.0
40 Branch,0.075,0.075,0.85,0.0
41 Branch,0.06060606060606061,0.030303030303030304,0.9090909090909091,0.0
42 Branch,0.08333333333333333,0.0,0.9166666666666666,0.0
43 Branch,0.047619047619047616,0.07142857142857142,0.8809523809523809,0.0
44 Branch,0.13793103448275862,0.06896551724137931,0.7586206896551724,0.034482758620689655
45 Branch,0.11428571428571428,0.02857142857142857,0.8571428571428571,0.0
46 Branch,0.06060606060606061,0.030303030303030304,0.8787878787878788,0.030303030303030304
47 Branch,0.06060606060606061,0.06060606060606061,0.8484848484848485,0.030303030303030304
48 Branch,0.1111111111111111,0.0,0.8888888888888888,0.0
49 Branch,0.044444444444444446,0.08888888888888889,0.8666666666666667,0.0
5 Branch,0.0,0.0,1.0,0.0
5.2,0.0,1.0,0.0,0.0
50 Branch,0.06779661016949153,0.05084745762711865,0.864406779661017,0.01694915254237288
51 Branch,0.05660377358490566,0.018867924528301886,0.9245283018867925,0.0
52,0.0,0.0,1.0,0.0
52 Branch,0.043478260869565216,0.028985507246376812,0.927536231884058,0.0
53 Branch,0.05333333333333334,0.02666666666666667,0.8933333333333333,0.02666666666666667
54,1.0,0.0,0.0,0.0
54 Branch,0.02564102564102564,0.02564102564102564,0.9230769230769231,0.02564102564102564
55 Branch,0.09821428571428571,0.008928571428571428,0.8839285714285714,0.008928571428571428
56 Branch,0.07462686567164178,0.029850746268656716,0.8805970149253731,0.014925373134328358
57,0.0,1.0,0.0,0.0
57 Branch,0.05319148936170213,0.047872340425531915,0.8776595744680851,0.02127659574468085
58 Branch,0.0875,0.0375,0.8375,0.0375
59,0.0,0.0,1.0,0.0
59 Branch,0.07228915662650602,0.03614457831325301,0.891566265060241,0.0
6 Branch,0.0,0.0,1.0,0.0
60,0.06666666666666667,0.03333333333333333,0.8666666666666667,0.03333333333333333
60 Branch,0.059322033898305086,0.0423728813559322,0.8898305084745762,0.00847457627118644
61 Branch,0.041666666666666664,0.041666666666666664,0.8958333333333334,0.020833333333333332
62 Branch,0.0392156862745098,0.0,0.9607843137254902,0.0
63,0.0,0.0,1.0,0.0
63 Branch,0.008928571428571428,0.017857142857142856,0.9732142857142857,0.0
64,0.0,0.0,1.0,0.0
64 Branch,0.03296703296703297,0.02197802197802198,0.945054945054945,0.0
65 Branch,0.046511627906976744,0.0,0.9457364341085271,0.007751937984496124
66,0.0,0.0,1.0,0.0
66 Branch,0.047619047619047616,0.03968253968253968,0.9047619047619048,0.007936507936507936
67,0.3333333333333333,0.0,0.6666666666666666,0.0
67 Branch,0.05714285714285714,0.06428571428571428,0.8785714285714286,0.0
68,0.12244897959183673,0.08163265306122448,0.7959183673469388,0.0
68 Branch,0.05982905982905983,0.042735042735042736,0.8931623931623932,0.004273504273504274
69,0.3333333333333333,0.0,0.6666666666666666,0.0
